name,award,year,region,dl_profile,double_underscore_content
"Milner, A J",ACM A. M. Turing Award,1991,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332515695,
"Sreejith, A V",ACM India Doctoral Dissertation Award,2014,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81479663157,
"Malossi, A. Cristiano I.",ACM Gordon Bell Prize,2015,Europe,https://dl.acm.orgN/A,
"Perlis, A. J.",ACM A. M. Turing Award,1966,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100086771,
"Turner, A. Joe",Outstanding Contribution to ACM Award,1995,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81408600192,
"Efros, Alexei A.",ACM Prize in Computing,2016,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100604913,
"Finerman, Aaron",ACM Distinguished Service Award,1981,North America,https://dl.acm.orgN/A,
"Donahue, Aaron S.",ACM Gordon Bell Prize for Climate Modelling,2023,North America,https://dl.acm.orgN/A,
"Sidford, Aaron",ACM Doctoral Dissertation Award,2015,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81758701057,
"Walter, Aaron",ACM/CSTA Cutler-Bell Prize in High School Computing,2016,North America,https://dl.acm.orgN/A,
"Shringarpure, Aashay",ACM Gordon Bell Prize,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81453621055,
"Jain, Aayush",ACM Doctoral Dissertation Award,2022,North America,https://dl.acm.orgN/A,
"Dommer, Abigail C.",ACM Gordon Bell Prize,2020,North America,https://dl.acm.orgN/A,
"Rahimian, Abtin",ACM Gordon Bell Prize,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81466648341,
"Brandt, Achi",SIAM/ACM Prize in Computational Science and Engineering,2005,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100446618,
"Bertsch, Adam",ACM Gordon Bell Prize,2013,North America,https://dl.acm.orgN/A,
"Lerer, Adam K.",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orgN/A,
"Smith, Adam",ACM Paris Kanellakis Theory and Practice Award,2021,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81406595213,
"Goldberg, Adele",ACM Software System Award,1987,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100493367,
"Shamir, Adi",ACM Paris Kanellakis Theory and Practice Award,1996,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100081898,
"Shamir, Adi",ACM A. M. Turing Award,2002,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100081898,
"Eguiluz, Adolfo G.",ACM Gordon Bell Prize,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81474694251,
"Leblanc, Adrien",ACM Gordon Bell Prize,2022,Europe,https://dl.acm.orgN/A,
"Zhang, Aidong",ACM Distinguished Service Award,2023,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81474684575,
"Yamanaka, Akinori",ACM Gordon Bell Prize,2011,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81490675660,
"Nukada, Akira",ACM Gordon Bell Prize,2011,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81310489675,
"Gara, Alan",ACM Gordon Bell Prize,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100198142,
"Kay, Alan",ACM Software System Award,1987,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100544599,
"Kay, Alan",ACM A. M. Turing Award,2003,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100544599,
"Suhr, Alane",ACM Doctoral Dissertation Award,2022,North America,https://dl.acm.orgN/A,
"Ehrensperger, Albrecht",ACM Eugene L. Lawler Award for Humanitarian Contributions within Computer Science and Informatics,2005,North America,https://dl.acm.orgN/A,
"Madry, Aleksander",ACM Doctoral Dissertation Award,2011,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100530273,
"Brace, Alexander",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Breuer, Alexander",ACM-IEEE CS George Michael Memorial HPC Fellowships,2014,Europe,https://dl.acm.orgN/A,
"Liu, Alexander",ACM Gordon Bell Prize,2021,Asia,https://dl.acm.orgN/A,
"Ziogas, Alexandros Nikolaos",ACM Gordon Bell Prize,2019,Europe,https://dl.acm.orgN/A,
"Aho, Alfred V",ACM A. M. Turing Award,2020,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100024612,
"Avizienis, Algirdas",ACM-IEEE CS Eckert-Mauchly Award,2012,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100618467,
"Scherr, Allan L.",ACM Grace Murray Hopper Award,1975,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100473738,
"Newell, Allen",ACM A. M. Turing Award,1975,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100393604,
"Tucker, Allen",Outstanding Contribution to ACM Award,1991,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100631947,
"Randles, Amanda",ACM-IEEE CS George Michael Memorial HPC Fellowships,2009,North America,https://dl.acm.orgN/A,
"Randles, Amanda",ACM-IEEE CS George Michael Memorial HPC Fellowships,2010,North America,https://dl.acm.orgN/A,
"Randles, Amanda",ACM-IEEE CS George Michael Memorial HPC Fellowships,2012,North America,https://dl.acm.orgN/A,
"Randles, Amanda",ACM-IEEE CS George Michael Memorial HPC Fellowships,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81557900356,
"Randles, Amanda",ACM-IEEE CS George Michael Memorial HPC Fellowships,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81557900356,
"Randles, Amanda",ACM-IEEE CS George Michael Memorial HPC Fellowships,2012,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81557900356,
"Randles, Amanda",ACM Grace Murray Hopper Award,2017,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81557900356,
"Randles, Amanda",ACM Prize in Computing,2023,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81557900356,
"Helmy, Amir",ACM/CSTA Cutler-Bell Prize in High School Computing,2017,North America,https://dl.acm.orgN/A,
"Pnueli, Amir",ACM A. M. Turing Award,1996,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100648459,
"Pnueli, Amir",ACM Software System Award,2007,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100648459,
"Naamad, Amnon",ACM Software System Award,2007,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100036481,
"Even, Amos",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orgN/A,
"Jin, Amy",ACM/CSTA Cutler-Bell Prize in High School Computing,2017,North America,https://dl.acm.orgN/A,
"Justice, Amy",ACM Gordon Bell Prize,2018,North America,https://dl.acm.orgN/A,
"Doan, AnHai",ACM Doctoral Dissertation Award,2003,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100156196,
"Platzer, Andre",ACM Doctoral Dissertation Award,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81330496505,
"Goldsmith, Andrea",ACM Athena Lecturer Award,2018,North America,https://dl.acm.orgN/A,
"Bechtolsheim, Andreas",ACM Presidential Award,2005,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100606986,
"Broder, Andrei",ACM Paris Kanellakis Theory and Practice Award,2012,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81452610079,
"Broder, Andrei",ACM Paris Kanellakis Theory and Practice Award,2020,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81452610079,
"Birrell, Andrew",ACM Software System Award,1994,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100124997,
"Yao, Andrew C",ACM A. M. Turing Award,2000,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100545139,
"McGettrick, Andrew",ACM Presidential Award,2018,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100107568,
"McGettrick, Andrew",ACM Karl V. Karlstrom Outstanding Educator Award,2020,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100107568,
"Myers, Andrew",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Tanenbaum, Andrew S",ACM Software System Award,2023,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100515854,
"Tanenbaum, Andrew S.",ACM Karl V. Karlstrom Outstanding Educator Award,1994,North America,https://dl.acm.orgN/A,
"Salinger, Andrew",ACM Gordon Bell Prize for Climate Modelling,2023,North America,https://dl.acm.orgN/A,
"Wilson, Andrew",ACM Software System Award,1999,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100531409,
"van Dam, Andries",ACM Karl V. Karlstrom Outstanding Educator Award,1993,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81452592989,
"Anandkumar, Anima",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Borg, Anita",ACM Distinguished Service Award,1999,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100211852,
"Mahesh, Ankur",ACM Gordon Bell Prize,2018,North America,https://dl.acm.orgN/A,
"Karlin, Anna",ACM Paris Kanellakis Theory and Practice Award,2020,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100344510,
"Condon, Anne",ACM Doctoral Dissertation Award,1988,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100091376,
"Sharma, Anoop",ACM Software System Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81392608526,
"Forte, Anthony",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orgN/A,
"Ralston, Anthony",ACM Distinguished Service Award,1982,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100295603,
"Kozhevnikov, Anton",ACM Gordon Bell Prize,2010,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81474683869,
"Stone, Antonia",ACM Eugene L. Lawler Award for Humanitarian Contributions within Computer Science and Informatics,1999,North America,https://dl.acm.orgN/A,
"Chandramowlishwaran, Aparna",ACM Gordon Bell Prize,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81375620649,
"Chandramowlishwaran, Aparna",ACM-IEEE CS George Michael Memorial HPC Fellowships,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81375620649,
"Vahdat, Arash",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Dixit, Arati M",Outstanding Contribution to ACM Award,2019,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=99658714696,
"Trauring, Aron",ACM Software System Award,2007,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100085174,
"Jacob, Arpith",ACM-IEEE CS George Michael Memorial HPC Fellowships,2007,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81322496524,
"Ramanathan, Arvind",ACM Gordon Bell Prize,2020,North America,https://dl.acm.orgN/A,
"Ramanathan, Arvind",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Agarwala, Aseem",ACM Doctoral Dissertation Award,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100035467,
"Dan, Asit",ACM Doctoral Dissertation Award,1991,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100186285,
"Oshiyama, Atsushi",ACM Gordon Bell Prize,2011,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81490690898,
"Suenaga, Atsushi",ACM Gordon Bell Prize,2006,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100242583,
"Uno, Atsuya",ACM Gordon Bell Prize,2011,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100419320,
"Clyde, Austin",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Swartz, Avi",ACM/CSTA Cutler-Bell Prize in High School Computing,2016,North America,https://dl.acm.orgN/A,
"Wigderson, Avi",ACM A. M. Turing Award,2023,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100459522,
"Rubinstein, Aviad",ACM Doctoral Dissertation Award,2017,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332524972,
"Tevanian, Avie",ACM Software System Award,2014,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100646362,
"Blum, Avrim",ACM Paris Kanellakis Theory and Practice Award,2021,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100160291,
"Huebl, Axel",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Toro-Vega, Axel S.",ACM/CSTA Cutler-Bell Prize in High School Computing,2019,North America,https://dl.acm.orgN/A,
"Howard, Ayanna",ACM Athena Lecturer Award,2021,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100328868,
"Hejazialhosseini, Babak",ACM Gordon Bell Prize,2013,Middle East,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81442616806,
"Rau, Bantwal R",ACM-IEEE CS Eckert-Mauchly Award,2002,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81451599881,
"Grosz, Barbara J",ACM AAAI Allen Newell Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100521266,
"Liskov, Barbara",ACM A. M. Turing Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100323833,
"Smith, Barry",SIAM/ACM Prize in Computational Science and Engineering,2015,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332528299,
"Liblit, Ben",ACM Doctoral Dissertation Award,2005,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100555854,
