Index,Last Name,Given Name,Year,Region,Award,Profile URL,Digital Library Link,Google Scholar Profile,Affiliation,Interests
1,Wigderson,Avi,,,,https://dl.acm.org/author_page.cfm?id=81100459522,,,[]
2,Metcalfe,Robert Melancton,,,,https://dl.acm.org/author_page.cfm?id=89758929157,https://scholar.google.com/citations?user=s3JP-0oAAAAJ,"Professor, Columbia University // @rdmetcalfe",Behavioral Economics Energy Economics Environmental Economics Field Experiments Public Economics
3,Dongarra,Jack,,,,https://dl.acm.org/author_page.cfm?id=81100368092,https://scholar.google.com/citations?user=X4SbSTAAAAAJ,University of Tennessee; Oak Ridge National Laboratory; University of Manchester,scientific parallel computing
4,Aho,Alfred V,,,,https://dl.acm.org/author_page.cfm?id=81100024612,https://scholar.google.com/citations?user=gb2r2ssAAAAJ,"Lawrence Gussman Professor of Computer Science, Columbia University",Programming languages and compilers theory software quantum computing..
5,Ullman,Jeffrey D,,,,https://dl.acm.org/author_page.cfm?id=81100314798,https://scholar.google.com/citations?user=wUJ2bXgAAAAJ,"Professor of Computer Science, Stanford University",Database Systems Data Mining
6,Catmull,Edwin,,,,https://dl.acm.org/author_page.cfm?id=81100160637,https://scholar.google.com/citations?user=qb5SK0QAAAAJ,"Pixar, Disney, retired",animation creativity management
7,Hanrahan,Pat,,,,https://dl.acm.org/author_page.cfm?id=81100482576,https://scholar.google.com/citations?user=RzEnQmgAAAAJ,Stanford University,computer graphics visualization parallel computing
8,Hinton,Geoffrey E,,,,https://dl.acm.org/author_page.cfm?id=81100505762,https://scholar.google.com/citations?user=JicYPdAAAAAJ,"Emeritus Prof. Computer Science, University of Toronto",machine learning psychology artificial intelligence cognitive science computer science
9,LeCun,Yann,,,,https://dl.acm.org/author_page.cfm?id=81350597740,https://scholar.google.com/citations?user=WLN3QrAAAAAJ,"Chief AI Scientist at Facebook & Silver Professor at the Courant Institute, New York …",AI machine learning computer vision robotics image compression
10,Bengio,Yoshua,,,,https://dl.acm.org/author_page.cfm?id=81100287057,https://scholar.google.com/citations?user=kukA0LcAAAAJ,"Professor of computer science, University of Montreal, Mila, IVADO, CIFAR",Machine learning deep learning artificial intelligence
11,Patterson,David,,,,https://dl.acm.org/author_page.cfm?id=81100565162,https://scholar.google.com/citations?user=Wj4ZBFIAAAAJ,"Professor of Computer Science, UC Berkeley",computer systems
