Citation,x,y,cluster,keywords,Index,Full Name
for contributions to the quality assurance of large scale software systems,-2.558632,-4.005754,9,"systems, verification, languages, programming, software",1,Ahmed E. Hassan
for contributions to and leadership in combinatorial scientific computing,4.125192,3.5684466,7,"combinatorial, computational, complexity, theory, algorithms",2,Alex Pothen
for contributions to database management system technology,4.5743003,-4.080683,8,"systems, management, query, data, database",3,Alfons Kemper
for contributions to tensor methods for probabilistic models and neural operators,6.512249,2.996296,1,"mining, artificial, natural, intelligence, learning",4,Anima Anandkumar
for the invention of full-duplex wireless and open-source wireless research platforms,-10.866176,-0.3981856,0,"internet, systems, mobile, networks, wireless",5,Ashutosh Sabharwal
"for contributions to software process,  software measurement, and human factors in software engineering",-1.2510655,-3.9931505,9,"systems, verification, languages, programming, software",6,Bill Curtis
"for contributions to theoretical computer science, in particular cryptography and computational complexity, and service to the theory community",1.3659987,2.842668,7,"combinatorial, computational, complexity, theory, algorithms",7,Boaz Barak
for contributions to the design of large-scale systems and their programming systems and software,-5.502171,-0.8445672,2,"networks, parallel, computing, systems, distributed",8,Bronis R. de Supinski
"for contributions to technologies, applications, and mentorship in visual computing",-0.900214,4.0277905,4,"service, science, computing, acm, computer",9,Chung C Kuo
"for fundamental contributions to algorithmic game theory, mechanism design, sublinear algorithms and theoretical machine learning",3.9709601,2.3278637,7,"combinatorial, computational, complexity, theory, algorithms",10,Constantinos Daskalakis
"for theoretical and practical contributions to machine learning, industrial leadership, and service to the field",7.2908993,1.305219,1,"mining, artificial, natural, intelligence, learning",11,Corinna Cortes
"for contributions to computer graphics, geometry processing, and visual computing",8.157327,6.3235006,5,"interaction, human, graphics, vision, computer",12,Craig Gotsman
for contributions to algorithms and data structures for geometric data analysis and retrieval,3.1851232,6.4188604,7,"combinatorial, computational, complexity, theory, algorithms",13,David M Mount
"for contributions to computer graphics, geometry processing, and scientific 
computing",7.8768163,6.5269523,5,"interaction, human, graphics, vision, computer",14,Denis Zorin
for contributions in speech processing and deep learning applications,7.9543157,1.1422015,1,"mining, artificial, natural, intelligence, learning",15,Dong Yu
for contributions to machine learning and data mining techniques for social computing and recommender systems,8.660853,-2.2850964,1,"mining, artificial, natural, intelligence, learning",16,Ed H. Chi
for contributions to secure computing and privacy-preserving machine learning,-1.1400845,-0.62278414,6,"secure, systems, cryptography, security, privacy",17,Farinaz Koushanfar
for contributions to machine learning for search and dialogue,10.06076,-0.39261147,1,"mining, artificial, natural, intelligence, learning",18,Hang Li
"for contributions to programming language design and implementation, program analysis, and software security.",-2.2038963,-6.6545234,9,"systems, verification, languages, programming, software",19,Michael W Hicks
"for contributions to algorithms, architectures, and applications in machine learning",6.7859516,2.1375883,7,"combinatorial, computational, complexity, theory, algorithms",20,Eric Xing
for contributions to video and image compression and leadership in its standardization,7.291832,8.763214,5,"interaction, human, graphics, vision, computer",21,Gary J. Sullivan
for theoretical and practical contributions to the fields of text searching and compact data structures,8.537754,-1.1964638,8,"systems, management, query, data, database",22,Gonzalo Navarro
for contributions to wireless networking and mobile computing,-10.462935,-0.48268244,0,"internet, systems, mobile, networks, wireless",23,Haitao Zheng
for contributions to tangible user interfaces and to human-computer interaction,6.2749133,6.864516,5,"interaction, human, graphics, vision, computer",24,Hiroshi Ishii
"for contributions to software engineering research and translation, and establishing  research standards in china",-1.4975797,-3.2814727,9,"systems, verification, languages, programming, software",25,Hong Mei
"for contributions to human-computer interaction, information retrieval, and productivity",5.765117,6.444464,1,"mining, artificial, natural, intelligence, learning",26,Jaime Teevan
for contributions to ubiquitous computing and to usable privacy and security,0.65521336,-3.3576207,6,"secure, systems, cryptography, security, privacy",27,Jason Hong
"for contributions to the design, analysis, usage, and evaluation of software and information visualization",7.3514037,4.386262,1,"mining, artificial, natural, intelligence, learning",28,John Stasko
for technical contributions in evolutionary  multi-objective optimization algorithms and multi-criterion decision support,4.58952,3.9638603,1,"mining, artificial, natural, intelligence, learning",29,Kalyanmoy Deb
for contributions to the innovation and critique of digital technology for socio-economic development and social justice,0.95482963,8.298793,4,"service, science, computing, acm, computer",30,Kentaro Toyama
"""for contributions to computer security, and especially to the secure engineering of medical devices.""",-0.36463413,-1.0071001,6,"secure, systems, cryptography, security, privacy",31,Kevin Fu
for contributions to developing new architectures and programming systems for emerging applications and computing technologies,-3.2086103,0.42392138,3,"performance, parallel, design, memory, computing",32,Luis H Ceze
"for contributions to visual communication through computer graphics, human-computer interaction, and information visualization",6.4932404,6.75377,5,"interaction, human, graphics, vision, computer",33,Maneesh Agrawala
"for contributions to program analysis, verification, parallelism, logic programming, and the imdea software institute",-3.5076506,-0.015865244,9,"systems, verification, languages, programming, software",34,Manuel V Hermenegildo
"for contributions to geometric computer vision and applications to ar/vr/mr, robotics, and autonomous vehicles",8.375959,4.8948436,5,"interaction, human, graphics, vision, computer",35,Marc Pollefeys
"for contributions to human-computer interaction, instrumental interaction and generative theory, and community leadership",5.683019,7.3128395,4,"service, science, computing, acm, computer",36,Michel Beaudouin-Lafon
"for contributions to machine learning research for imbalanced data, graphs, and interdisciplinary innovations",6.839517,2.5409427,1,"mining, artificial, natural, intelligence, learning",37,Nitesh Chawla
"for contributions to the design of columnar, main-memory, and vectorized database systems",2.9538527,-5.723542,3,"performance, parallel, design, memory, computing",38,Peter Boncz
for contributions to memory hierarchy design,-6.4097824,-4.6452255,3,"performance, parallel, design, memory, computing",39,Moinuddin Qureshi
for contributions to the design of high-performance integrated systems and ultra-low power edge circuits and architectures,-8.585721,0.5453022,3,"performance, parallel, design, memory, computing",40,David Atienza Alonso
for contributions to hardware/software co-design of power and thermal efficient embedded computing,-7.7531466,-1.6494055,3,"performance, parallel, design, memory, computing",41,Joerg Henkel
for contributions to algorithm design with real-world implications and for mentoring and community-building,0.67930615,4.438371,4,"service, science, computing, acm, computer",42,Samir Khuller
for contributions to the foundations and applications of visual geometry and visual representations learning,9.221951,4.84008,5,"interaction, human, graphics, vision, computer",43,Stefano Soatto
for contributions to low-power and communication-based design of embedded systems,-8.873727,0.25265372,0,"internet, systems, mobile, networks, wireless",44,Radu Marculescu
for contributions to the foundations of cryptography,0.69829243,-1.9192679,6,"secure, systems, cryptography, security, privacy",45,Rafael Pass
for contributions to software-defined wireless networking and applications to agriculture and rural broadband,-10.386745,-0.59361494,0,"internet, systems, mobile, networks, wireless",46,Ranveer Chandra
for contributions to subspace clustering and motion segmentation in computer vision,9.548679,4.6323013,5,"interaction, human, graphics, vision, computer",47,Rene Vidal
for contributions to the theory of online algorithms and quantum complexity theory,2.8489985,2.0922818,7,"combinatorial, computational, complexity, theory, algorithms",48,Sandy Irani
for contributions to the analysis and testing of evolving systems and robotic systems,-3.6960852,-2.8679264,9,"systems, verification, languages, programming, software",49,Sebastian Elbaum
"for contributions to mobile and pervasive computing, and their applications in graceful aging and accessibility",-10.034482,-0.0045780353,0,"internet, systems, mobile, networks, wireless",50,Sumi Helal
for contributions to computer system security and performance analysis,-2.5845149,-5.2093463,6,"secure, systems, cryptography, security, privacy",51,Tim Sherwood
for foundational contributions to high performance computing and the application of hpc techniques to machine learning,6.1274705,2.81084,3,"performance, parallel, design, memory, computing",52,Torsten Hoefler
for contributions to multimedia networking and network representation,-10.63198,-2.2741675,0,"internet, systems, mobile, networks, wireless",53,Wenwu Zhu
"for contributions to question answering, information retrieval, and natural language processing",9.932253,0.05949062,1,"mining, artificial, natural, intelligence, learning",54,Jimmy Lin
for contributions to computer graphics and computer vision,9.255629,5.2089777,5,"interaction, human, graphics, vision, computer",55,Yizhou Yu
for contributions to wireless networks and mobile computing,-10.466692,-0.48600912,0,"internet, systems, mobile, networks, wireless",56,Yuguang Fang
for contributions to software testing and analysis,-0.42249006,-8.714648,9,"systems, verification, languages, programming, software",57,Zhendong Su
for contributions to ubiquitous computing and large-scale behavioral studies,-3.4343004,5.9004793,0,"internet, systems, mobile, networks, wireless",58,Anind Dey
"for contributions to approximation algorithms, online algorithms, stochastic algorithms and metric embeddings",4.8711257,3.6956532,1,"mining, artificial, natural, intelligence, learning",59,Anupam Gupta
"for contributions to verifying concurrent programs, probabilistic systems, security and database systems",-2.51315,-8.971446,6,"secure, systems, cryptography, security, privacy",60,Aravinda P Sistla
for contributions to human values in the technical design process,-0.15450758,7.066238,9,"systems, verification, languages, programming, software",61,Batya Friedman
"for contributions to knowledge representation and reasoning, automatic planning, and their applications in robotics",4.6290846,0.106975384,1,"mining, artificial, natural, intelligence, learning",62,Bernhard Nebel
"for contributions to large-scale object recognition, human detection, and pose estimation",9.587522,3.5639966,5,"interaction, human, graphics, vision, computer",63,Bernt Schiele
for contributions to smt solvers and network verification,-2.8240476,-8.844367,7,"combinatorial, computational, complexity, theory, algorithms",64,Bjorner Nikolaj
for contributions to ultra-low power wireless sensing systems,-9.071148,0.7261074,0,"internet, systems, mobile, networks, wireless",65,Deepak Ganesan
for contributions to query processing and optimization and to cloud database systems,6.0227957,-4.163542,8,"systems, management, query, data, database",66,Feifei Li
"for contributions to information retrieval, human-computer interaction, and computational health",5.729006,5.976234,1,"mining, artificial, natural, intelligence, learning",67,Ryen W White
for contributions to microelectronics security and trust,-3.939017,-3.4807103,6,"secure, systems, cryptography, security, privacy",68,Mark Tehranipoor
"for contributions to geometry processing, mesh parameterization, and perception-driven shape analysis and modeling",8.472271,6.93551,5,"interaction, human, graphics, vision, computer",69,Alla Sheffer
for contributions to cryptography,0.795658,-2.3170438,6,"secure, systems, cryptography, security, privacy",70,Brent Waters
for contributions to proof theory and computational logic,2.8327425,1.4474701,7,"combinatorial, computational, complexity, theory, algorithms",71,Dale A Miller
for contributions to mobile systems for behavioral sensing and health interventions,-9.63411,0.56067157,0,"internet, systems, mobile, networks, wireless",72,Tanzeem Choudhury
for contributions to machine learning algorithms and their applications,7.437331,1.5737858,1,"mining, artificial, natural, intelligence, learning",73,Tie-Yan Liu
for contributions to scalable machine learning and healthcare,6.6228504,3.130451,1,"mining, artificial, natural, intelligence, learning",74,Edward Y Chang
for contributions to efficient algorithms for convex and nonconvex optimization,4.4618473,4.1700377,7,"combinatorial, computational, complexity, theory, algorithms",75,Elad Hazan
for contributions to theoretical computer science and inference,3.017912,1.4915783,1,"mining, artificial, natural, intelligence, learning",76,Elchanan Mossel
"for contributions to the acquisition, representation, and dissemination of web-knowledge with applications to the medical domain",5.268911,-2.1025443,1,"mining, artificial, natural, intelligence, learning",77,Evgeniy Gabrilovich
