Citation,x,y,cluster,keywords,Index,Full Name,ACM Fellow Profile,DBLP profile,Google Scholar Profile,image_url
for contributions to the quality assurance of large scale software systems,-2.3882966,7.77264,3,"systems, verification, languages, software, programming",1,Ahmed E. Hassan,https://awards.acm.org/award-recipients/hassan_3864774,https://dblp.org/pid/161/8687,https://scholar.google.com/citations?user=9hwXx34AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=9hwXx34AAAAJ
for contributions to and leadership in combinatorial scientific computing,2.8521652,8.820793,2,"combinatorial, computational, theory, complexity, algorithms",2,Alex Pothen,https://awards.acm.org/award-recipients/pothen_5005655,https://dblp.org/pid/03/854,https://scholar.google.com/citations?user=_Fah5fwAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=_Fah5fwAAAAJ
for contributions to database management system technology,1.9457006,6.1616015,5,"query, systems, data, management, database",3,Alfons Kemper,https://awards.acm.org/award-recipients/kemper_4001152,https://dblp.org/pid/k/AlfonsKemper,,
for contributions to tensor methods for probabilistic models and neural operators,3.689605,7.2881107,1,"machine, natural, artificial, intelligence, learning",4,Anima Anandkumar,https://awards.acm.org/award-recipients/anandkumar_6110403,https://dblp.org/pid/25/1529,https://scholar.google.com/citations?user=bEcLezcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=bEcLezcAAAAJ
for the invention of full-duplex wireless and open-source wireless research platforms,2.753146,3.5427346,8,"protocols, internet, systems, networks, wireless",5,Ashutosh Sabharwal,https://awards.acm.org/award-recipients/sabharwal_6171395,https://dblp.org/pid/45/284,https://scholar.google.com/citations?user=MiqMO-kAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=MiqMO-kAAAAJ
"for contributions to software process,  software measurement, and human factors in software engineering",-2.2083058,8.424847,7,"cooperative, computing, computer, interaction, human",6,Bill Curtis,https://awards.acm.org/award-recipients/curtis_1822345,https://dblp.org/pid/125/0425,https://scholar.google.com/citations?user=D5IKxV8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=D5IKxV8AAAAJ
"for contributions to theoretical computer science, in particular cryptography and computational complexity, and service to the theory community",1.4283518,8.756551,2,"combinatorial, computational, theory, complexity, algorithms",7,Boaz Barak,https://awards.acm.org/award-recipients/barak_5889067,https://dblp.org/pid/b/BBarak,https://scholar.google.com/citations?user=I0fbJ6cAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=I0fbJ6cAAAAJ
for contributions to the design of large-scale systems and their programming systems and software,0.82985044,4.903807,9,"memory, systems, distributed, parallel, computing",8,Bronis R. de Supinski,https://awards.acm.org/award-recipients/desupinski_4862751,https://dblp.org/pid/85/5840,https://scholar.google.com/citations?user=iuEBM58AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=iuEBM58AAAAJ
"for contributions to technologies, applications, and mentorship in visual computing",0.4709578,8.275772,7,"cooperative, computing, computer, interaction, human",9,Chung C Kuo,https://awards.acm.org/award-recipients/kuo_3398864,https://dblp.org/pid/32/1320,https://scholar.google.com/citations?user=7zNrjLsAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=7zNrjLsAAAAJ
"for fundamental contributions to algorithmic game theory, mechanism design, sublinear algorithms and theoretical machine learning",2.972337,8.628529,2,"combinatorial, computational, theory, complexity, algorithms",10,Constantinos Daskalakis,https://awards.acm.org/award-recipients/daskalakis_4121823,https://dblp.org/pid/d/ConstantinosDaskalakis,https://scholar.google.com/citations?user=iTv2cOgAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=iTv2cOgAAAAJ
